GFDC-number,concept-id,Keytype,indexTerm-en,indexTerm-de,indexTerm-fi,note,fi-new-term
861,,,manufacturing of pulp,,Sellun valmistus ,,f
862,,,boards,,Levytuotteet ,,f
903,,,National Forest Programme,,kansallinen metsäohjelma,,f
903,,,natural resource plan (NRP),,luonnonvarasuunnitelma (LVS) ,,f
913,,,forest land,,metsämaa,,f
913,,,growth categories of forestry land,,metsätalouden maan kasvuluokat ,,f
914,,,scrub land,,kitumaa,,f
922,,,public forests,Öffentlicher Waldbesitz,,,
0,,,forests and forestry,Wald- und Forstwirtschaft,,,
10,,,environment (factors of),Standortsfaktoren,ympäristötekijät,,
101,,,site studies in the broadest sense,Standortsuntersuchungen,,,
101,,,site studies,Standortserkundungen,,,
11,,,abiotic factors,Abiotische Faktoren,abioottiset tekijät,,
11,,,locality factors,,,,
11,,,site factors (abiotic),Standortsfaktoren (abiotische),,,
111,,,atmosphere,Atmosphäre,ilmakehä,,
111,,,climate,Klima,ilmasto,,
111,,,microclimate,Mikroklima,mikroilmasto,,
111,,,meteorology,Meteorologie,meteorologia,,
111.0,,,forecasting (meteorological),Vorhersagen: Meteorologische,ennusteet (meteorologiset),,
111.0,,,"meteorology (practical methods, data, forecasts etc.)","Meteorologie (praktische - Methoden, Ergebnisse, Vorhersagen usw.)",,,
111.104,,,"analysis, chemical (atmosphere)","Analyse, chemische: Atmosphäre",,,
111.104,,,atmosphere (composition),Atmosphäre: Zusammensetzung,,,
111.104,,,chemistry (atmosphere),Chemie: Atmosphäre,,,
111.105,,,atmosphere (structure),Atmosphäre: Struktur (Allgemeines),,,
111.11,,,atmosphere (mechanics),Atmosphäre: Mechanik,,,
111.11,,,atmosphere (thermodynamics),Atmosphäre: Thermodynamik,,,
111.13,,,atmosphere (circulation),Atmosphäre: Zirkulation (allgemeine),,,
111.15,,,atmosphere (disturbances),Atmosphäre: Störungen,,,
111.15,,,atmosphere (formations),,,,
111.15,,,thunderstorms,Gewitter,,,
111.21,,,Radiation,Strahlung,,,
111.216,,,Radiation: of special wavelengths,Strahlung: bestimmter Wellenlängen,,,
111.219,,,"\""Earth rays\""","\""Erdstrahlen\""",,,
111.24,,,Air: temperature,Luft: Temperatur,,,
111.24,,,Atmosphere (temperature,Atmosphäre: Temperatur,,,
111.24,,,Frost,Frost,,,
111.24,,,Heat (air temperature),Hitze,,,
111.24,,,Temperature (air,Temperatur: Luft,,,
111.4,,,Air: pressure,Luft: Druck,,,
111.4,,,Atmosphere (pressure,Atmosphäre: Luftdruck,,,
111.4,,,Pressure (atmospheric,Luftdruck,,,
111.5,,,Wind,Wind,,,
111.7,,,,,,[Hydrologie siehe 116],
111.71,,,Atmosphere (humidity,Atmosphäre: Feuchtigkeit,,,
111.71,,,Humidity (atmospheric,Feuchtigkeit in der Atmosphäre,,,
111.73,,,Evaporation,Verdunstung,,,
111.74,,,Condensation in atmosphere,Kondensation (in der Atmosphäre),,,
111.74,,,Deposits from atmosphere,Ablagerungen aus der Atmosphäre,,,
111.744,,,Condensation (in atmosphere) at earth's surface,Kondensation (in der Atmosphäre): an der Erdoberfläche,,,
111.744,,,Deposits from atmosphere: at earth's surface,Ablagerungen aus der Atmosphäre: an der Erdoberfläche,,,
111.744.1,,,Condensation (in atmosphere) at earth's surface (liquid),Kondensation (in der Atmosphäre): an der Erdoberfläche (flüssig),,,
111.744.1,,,Deposits from atmosphere: at earth's surface (liquid),Ablagerungen aus der Atmosphäre: an der Erdoberfläche (flüssig),,,
111.744.1,,,Dew,Tau,kaste,,
111.744.2,,,Condensation (in atmosphere) at earth's surface (solid),Kondensation (in der Atmosphäre): an der Erdoberfläche (fest),,,
111.744.2,,,Deposits from atmosphere: at earth's surface (solid),Ablagerungen aus der Atmosphäre: an der Erdoberfläche (fest),,,
111.744.2,,,Glazed ice,Glatteis usw.,musta jää,,
111.744.2,,,Hoar-frost,Reif,kuura,,
111.744.2,,,Ice storm,Ice storm,,,
111.744.2,,,Ice (glazed,,,,
111.744.2,,,Rime,Rime ,huurre,,
111.747,,,Atmosphere (upper (condensation and deposits in),Atmosphäre: freie Atmosphäre (Klima) (Kondensation und Ablagerungen),,,
111.747,,,Condensation (in atmosphere) on objects in upper atmosphere,Kondensation (in der Atmosphäre): in der freien Atmosphäre,,,
111.747,,,Deposits from atmosphere: on objects in upper atmosphere,Ablagerungen aus der Atmosphäre: in der freien Atmosphäre,,,
111.75,,,Fog,Nebel,,,
111.75,,,Mist,Dunst,,,
111.76,,P,Clouds,Wolken,,,
111.77,,P,Precipitation,Niederschlag,,,
111.771,,,Precipitation: classification,Niederschlag: Klassifikation,,,
111.771,,,Precipitation: formation and dissolution,Niederschlag: Bildung und Auflösung,,,
111.771,,,Precipitation: structure,Niederschlag: Struktur,,,
111.772,,,Precipitation: distribution at earth's surface,Niederschlag: Verteilung an der Erdoberfläche,,,
111.773,,,Drought,Dürre,,,
111.773,,,Precipitation: variations in,Niederschlag: Schwankungen,,,
111.78,,,Congealed snowflakes,,,,
111.78,,,Precipitation: particular kinds of,Niederschlag: Besondere Arten,,,
111.781,,,Drizzle,Sprühregen,tihku,,
111.781,,,Rain,Regen,sade,,
111.783,,,Rain: mixed with snow,Regen: gemischt mit Schnee,,,
111.783,,,Snow: mixed with rain,Schnee: Regenschnee,,,
111.784,,,Ice needles (form of precipitation),Eisnadeln,,,
111.784,,,Sleet,Graupeln,,,
111.784,,,Snow,Schnee,lumi,,
111.784,,,Snow: granular,Schneegriesel,lumijyväset,,
111.784,,,Snow: ice needles,Schnee: Eisnadeln,,,
111.787,,,Hail,Hagel,,,
111.787,,,Snowflakes (congealed,,lumihiutaleet (jähmettyneet??,,
111.8,,,Climate; climatology,Klima (Klimatologie,,,
111.81,,,Climate; climatology: influence of latitude,"Klima, Klimatologie: Einfluß der geographischen Breite",,,
111.81,,,Climate; climatology: solar,"Klima, Klimatologie: Solarklima",,,
111.81,,,Climatic zones,Klimazonen,,,
111.81,,,Latitude: influence on climate,Geographische Breite: Einfluß auf das Klima,,,
111.81,,,"Zones, climatic",,,,
111.82,,,Climate; climatology: of particular places and regions,"Klima, Klimatologie: bestimmter Orte und Gebiete",,,
111.83,,,Climatic changes,Klimaänderungen,ilmastonmuutokset,,
111.83,,,Global warming,Klimaerwärmung,ilmaston lämpeneminen,,
111.83,,,Greenhouse effect,Treibhauseffekt,kasvihuonevaikutus,,
111.83,,,Palaeoclimatology,Paläoklimatologie,paleoklimatologia,,
111.84,,,Microclimate; microclimatology,Mikroklima; Mikroklimatologie,mikroilmasto,,
111.85,,,Climatic types,Klimatypen,,,
111.86,,,Bioclimatology,Bioklimatologie,,,
111.86,,,Biometeorology,Biometeorologie,,,
111.87,,,"Atmosphere, upper (climate of)",Atmosphäre: freie Atmosphäre (Klima),,,
111.87,,,Climate; climatology: of upper atmosphere,"Klima, Klimatologie: der freien Atmosphäre",,,
111.88,,,Climate; climatology: influence of environment,"Klima, Klimatologie: Einfluß der Umgebung",,,
111.88,,,Global warming OR 111.83,,,,
111.902,,,"Atmosphere, cosmic influences",Atmosphäre: kosmische Einflüsse,,,
111.902,,,Cosmic influences,Kosmische Einflüsse,,,
111.91,,,Visibility,Sichtweite,,,
111.93,,,"Atmosphere, optical phenomena in",Atmosphäre: optische Erscheinungen,,,
111.93,,,"Optical phenomena, atmospheric","Optische Erscheinungen, atmosphärische",,,
111.94,,,"Atmosphere, electrical phenomena in",Atmosphäre: elektrische Erscheinungen,,,
111.94,,,Electrical phenomena in atmosphere,Elektrische Erscheinungen in der Atmosphäre,,,
111.94,,,Lightning,Blitz,,,
111.96,,,Acoustic phenomena in atmosphere,Akustische Erscheinungen in der Atmosphäre,,,
111.96,,,"Atmosphere, acoustic phenomena in",Atmosphäre: akustische Erscheinungen,,,
113,,,Situation,Lage,,,
113.1,,,Latitude,Geographische Breite,,,
113.1,,,Longitude,Längengrade,,,
113.2,,,Altitude,Höhenlage,,,
113.3,,,Aspect,Exposition,,,
113.3,,,Gradient,Hangrichtung,,,
113.3,,,,Neigung,,,
113.4,,,"Ground, configuration of",Geländeform,,,
113.4,,,Topography,Topographie,,,
114,,P,Soil,Boden,,,
114,,P,Soil science,Bodenkunde,,,
114.1,,,Physical properties: soil,Physikalische Eigenschaften: Boden,,,
114.1,,P,Soil physics,Bodenphysik,,,
114.1,,,Soil: physical properties,Boden: physikalische Bodeneigenschaften,,,
114.11,,,"Compaction, soil",Verdichtung: Boden,,,
114.11,,,Density (volume/weight): of soil,Dichte (spezifisches Gewicht): Boden,,,
114.11,,P,Soil compaction,Bodenverdichtungen: allgemein,,,
114.11,,P,Soil density,Bodendichte,,,
114.11,,,Specific gravity: soil,Spezifisches Gewicht: Boden,,,
114.12,,,Moisture relations: soil,"Wasser, Beziehungen der, des ... zum: Bodens",,,
114.12,,P,Soil moisture,Bodenfeuchtigkeit,,,
114.12,,P,Soil water,Bodenwasser,,,
114.12,,,"Water, soil","Wasser, Boden",,,
114.122,,,"Moisture content, soil",Feuchtigkeitsgehalt des Bodens,,,
114.122,,P,Soil moisture: content,Bodenfeuchtigkeit: Feuchtigkeitsgehalt,,,
114.123,,,Filtration in soil,Filtration im Boden,,,
114.123,,,"Infiltration capacity, soil",Infiltrationsvermögen des Bodens,,,
114.123,,,"Permeability, soil",Durchlässigkeit des Bodens,,,
114.123,,,"Porosity, soil","Porosität, Boden",,,
114.123,,,Soil infiltration capacity,Bodenfiltration,,,
114.123,,,Soil permeability,Bodendurchlässigkeit,,,
114.123,,,Soil porosity,Bodenporosität,,,
114.123,,,"Water, soil: filtration","Wasser, Boden: Filtration",,,
114.124,,,Soil moisture: retention,Bodenfeuchtigkeit: Absorption,,,
114.124,,,Soil: field capacity,Boden: Wasserkapazität,,,
114.124,,,"Water-retaining capacity, soil",Bodenfeuchtigkeit: Wasserkapazität,,,
114.124,,,"Water, soil: absorption","Wasser, Boden: Absorption",,,
114.124,,,"Water, soil: retention","Wasser, Boden: Wasserkapazität",,,
114.125,,,Hygroscopicity: soil,Hygroskopizität: Boden,,,
114.125,,,Soil: hygroscopicity,Boden: Hygroskopizität,,,
114.129,,,Groundwater,Grundwasser,,,
114.129,,,Soil water: groundwater,Bodenwasser: Grundwasser,,,
114.129,,,"Water, soil: groundwater; water table","Wasser, Boden: Grundwasser",,,
114.13,,,"Aeration, soil",Bodendurchlüftung,,,
114.13,,,"Atmosphere, of soil",Atmosphäre: des Bodens,,,
114.13,,,Gases: in soil,Gase: im Boden,,,
114.13,,P,Soil atmosphere,Bodenatmosphäre,,,
114.13,,P,Soil respiration,Bodenatmung,,,
114.14,,,"Adhesion, soil","Bindigkeit, Boden",,,
114.14,,,"Cohesion, soil","Kohäsion, Boden",,,
114.14,,,"Consistence, soil","Festigkeit, Boden",,,
114.14,,P,Soil consistence,Bodenbindigkeit,,,
114.14,,P,Soil structure,Bodenstruktur,,,
114.14,,,Structure: soil,,,,
114.15,,,"Analysis, mechanical (soil)","Analyse, mechanische (Boden)",,,
114.15,,,"Physical analysis, soil",Physikalische Bodenanalyse,,,
114.15,,P,Soil texture,Bodentextur,,,
114.15,,,Texture: soil,Textur: Boden,,,
114.15,,,,"Bodenanalyse, mechanische",,,
114.16,,P,Soil temperature,Bodentemperatur,,,
114.16,,,"Temperature, soil",Temperatur: Boden,,,
114.17,,,Soil: electrical properties,Boden: elektrische Bodeneigenschaften,,,
114.2,,,"Analysis, chemical: soil","Analyse, chemische: Boden",,,
114.2,,,Chemistry: soil,Chemie: Boden,,,
114.2,,P,Soil chemistry,Bodenchemie,maaperäkemia,,
114.2,,,,"Bodenanalyse, chemische",,,
114.22,,,"Physico-chemical properties, soil",Physikalisch-chemische Bodeneigenschaften,,,
114.22,,,Soil: physico-chemical properties,Boden: physikalisch-chemische Bodeneigenschaften,,,
114.23,,,"Electro-chemical properties, soil",Elektrochemische Bodeneigenschaften,,,
114.23,,,Soil: electrochemical properties,Boden: elektrochemische Bodeneigenschaften,,,
114.231,,P,"Buffer capacity, soil","Pufferungsvermögen, Boden",,,
114.231,,,Soil: buffer capacity,Boden: Pufferungsvermögen,,,
114.234,,P,"Base exchange, soil",Basenaustausch (Boden),,,
114.234,,,Soil: base exchange in,Boden: Basenaustausch,,,
114.24,,,"Colloidal properties, soil",Kolloidale Bodeneigenschaften,,,
114.24,,,Soil: colloidal properties,Boden: kolloidale Bodeneigenschaften,,,
114.242,,P,Colloidal state of soil,Kolloidaler Zustand des Bodens,,,
114.242,,,Soil: colloidal state,Boden: kolloidaler Zustand,,,
114.243,,P,Adsorption in soil,Absorption im Boden,,,
114.243,,,Soil: adsorption in,Boden: Absorption,,,
114.25,,,"Acidity, soil","Azidität, Boden",,,
114.25,,,"pH, soil","pH, Boden",,,
114.25,,,"Reaction, soil",Bodenreaktion,,,
114.25,,P,Soil acidification,Bodenversauerung,,,
114.25,,P,Soil acidity,Bodenazidität,,,
114.25,,,Soil: pH,Boden: pH,,,
114.26,,,Chemistry: soil (inorganic),Chemie: Boden (anorganisch),,,
114.26,,,Soil chemistry: inorganic,Bodenchemie: anorganische,,,
114.26,,,Soil constituents: inorganic,Bodenbestandteile: anorganische,,,
114.261,,,Nitrogen: and compounds in soil,Stickstoff: und Verbindungen im Boden,,,
114.262,,,Phosphorus and compounds in soil,Phosphor und Phosphorverbindungen im Boden,,,
114.264,,,Potassium and its compounds in soil,Kalium und Kaliumverbindungen im Boden,,,
114.265,,,Sodium and its compounds in soil,Natrium und Natriumverbindungen im Boden,,,
114.267,,,Calcium and compounds in soil,Kalzium und Kalziumverbindungen im Boden,,,
114.27,,,Chemistry: soil (organic),Chemie: Boden (organisch),,,
114.27,,,Humus: incorporated,,,,
114.27,,,"Organic constituents, soil","Organische Bestandteile, Boden",,,
114.27,,,Soil chemistry: organic,Bodenchemie: organische,,,
114.27,,,Soil constituents: organic,Bodenbestandteile: organische,,,
114.28,,,Soil solution,Bodenlösung,,,
114.3,,,Soil formation,Bodenbildung,,,
114.3,,,Soil profile,Bodenprofil,,,
114.30,,,Soil formation: processes in general,Bodenbildung: Bodenbildungsprozesse im allgemeinen,,,
114.31,,,Climate; climatology: influence on soil development,"Klima, Klimatologie: Einfluß auf die Bodenbildung",,,
114.31,,,"Leaching, soil","Auswaschung, Boden",,,
114.31,,,Soil formation: influence of water movement,Bodenbildung: Wirkungen der Wasserbewegung,,,
114.31,,,Soil formation: relation to climate,Bodenbildung: Beziehungen zum Klima,,,
114.31,,,"Water, soil: effects of movement on profile","Wasser, Boden: Wirkungen der Wasserbewegung auf das Bodenprofil",,,
114.32,,,Geological considerations in soil formation and development,Geologische Betrachtungen zur Bodenbildung und -entwicklung,,,
114.32,,,Parent material of soils,Muttergestein,,,
114.32,,,Soil formation: geological considerations; influence of parent material,Bodenbildung: geologische Betrachtungen; Einfluß des Ausgangsmaterials,,,
114.32,,,Soil formation: weathering,Bodenbildung: Verwitterung,,,
114.32,,,Soil: parent material of,Boden: Ausgangsmaterial (Muttergestein),,,
114.32,,,Weathering: as factor in soil formation,Verwitterung: als Faktor der Bodenbildung,,,
114.33,,P,Soil formation: relation to vegetative cover,Bodenbildung: Beziehungen zur Pflanzendecke,,,
114.33,,,Vegetation: effects on soil development,Vegetation: Einfluß auf die Bodenentwicklung,,,
114.35/.36,,,"Horizons, soil",Horizonte des Bodens,,,
114.35/.36,,P,Soil horizons,Bodenhorizonte,,,
114.351,,,"Horizons, soil: litter",Horizonte des Bodens: Bodenstreu,,,
114.351,,P,Litter,Waldstreu,,,
114.351,,,Soil horizons: litter,Bodenhorizonte: Bodenstreu,,,
114.354,,,"Horizons, soil: humus layers",Horizonte des Bodens: Humushorizonte,,,
114.354,,,Humus layers,Humus: Humushorizonte,,,
114.354,,,Soil horizons: humus layers,Bodenhorizonte: Humushorizonte,,,
114.355,,,"Horizons, soil: humus layers (mor, raw humus)","Horizonte des Bodens: Humushorizonte (Rohhumus, Moder)",,,
114.355,,,Humus: raw,"Humus: Rohhumus, Moder",,,
114.355,,,Mor humus,Moder,,,
114.355,,,Raw humus,Rohhumus,,,
114.355,,,"Soil horizons: humus layers (mor, raw humus)","Bodenhorizonte: Humushorizonte (Rohhumus, Moder)",,,
114.356,,,"Horizons, soil: humus layers (mull, mild humus)","Horizonte des Bodens: Humushorizonte (Mull, milder Humus)",,,
114.356,,,Humus: mild,"Humus: Mull, milder Humus",,,
114.356,,,Mild humus,Milder Humus,,,
114.356,,,Mull humus,Mull,,,
114.356,,,"Soil horizons: humus layers (mull, mild humus)","Bodenhorizonte: Humushorizonte (Mull, milder Humus)",,,
114.36,,,Mineral soil,Mineralboden,,,
114.36,,,"Soil: \""mineral\""",Boden: Bodenhorizonte,,,
114.361,,,"Concretions, soil: surface","Konkretionen, Boden: an der Oberfläche",,,
114.361,,,Eluvial horizons,Auswaschungshorizonte,,,
114.361,,,"Horizons, soil: A",Horizonte des Bodens: A,,,
114.361,,,"Horizons, soil: eluvial",Horizonte des Bodens: Auswaschungshorizonte,,,
114.361,,,"Pans, soil: surface","Verdichtungen, Boden: an der Oberfläche",,,
114.361,,,Soil horizons: A,Bodenhorizonte: A,,,
114.361,,,Soil horizons: eluvial,Bodenhorizonte: Auswaschungshorizonte,,,
114.361,,,Soil pans: surface,Bodenverdichtungen: an der Oberfläche,,,
114.362,,,"Concretions, soil: below surface","Konkretionen, Boden: unterhalb der Oberfläche",,,
114.362,,,"Horizons, soil: B",Horizonte des Bodens: B,,,
114.362,,,"Horizons, soil: illuvial",Horizonte des Bodens: Anreicherungshorizonte,,,
114.362,,,"Illuvial horizons, soil","Anreicherungshorizonte, Boden",,,
114.362,,,"Pans, soil: below surface","Verdichtungen, Boden: unterhalb der Oberfläche",,,
114.362,,,Soil horizons: B,Bodenhorizonte: B,,,
114.362,,,Soil horizons: illuvial,Bodenhorizonte: Anreicherungshorizonte,,,
114.362,,,Soil pans: below surface,Bodenverdichtungen: unterhalb der Oberfläche,,,
114.362,,,,Ortstein,,,
114.363,,,"Horizons, soil: C",Horizonte des Bodens: C,,,
114.363,,,Soil horizons: C,Bodenhorizonte: C,,,
114.364,,,Gley horizons,Glei-Horizonte,,,
114.364,,,"Horizons, soil: gley",Horizonte des Bodens: Glei-Horizonte,,,
114.364,,,Soil horizons: gley,Bodenhorizonte: Gleihorizonte,,,
114.38,,,"Depth, soil",Tiefe des Bodens,,,
114.38,,P,Soil depth,Bodentiefe,,,
114.38,,,,Gründigkeit des Bodens,,,
114.4,,,Soil classification,Bodenklassifizierung,,,
114.4,,,Soil types,Bodentypen,,,
114.41,,,Soil classification: general matters,Bodenklassifizierung: Allgemeines,,,
114.41,,,Soil types: general matters,Bodentypen: Allgemeines,,,
114.41,,,Spatial disposition of soil types,,,,
114.411,,,"Catenas, soil","Catenen, Boden",,,
114.411,,,Soil catenas,,,,
114.411,,,Soil types: spatial disposition,Bodentypen: räumliche Anordnung,,,
114.44,,,"Genetic classification, soil",Genetische Einteilung der Bodentypen,,,
114.44,,,Soil classification: genetic,Bodenklassifizierung: genetische,,,
114.44,,,Soil types: genetic,Bodentypen: Genetik,,,
114.441,,,"Soil types: zonal, of humid climates",Bodentypen: zonale Böden humider Klimate,,,
114.441,,,Zonal soils: of humid climates,Zonale Böden: humider Klimate,,,
114.441.1,,,Tundra soils,Tundra-Böden,,,
114.441.2,,,Podsole,Podzols,,,
114.441.3,,,Brown earths,Braunerden,,,
114.441.4,,,Grey-brown podzolic soils,,,,
114.441.4,,,"Podzolic soils, grey-brown",Podsolige braune Waldböden,,,
114.441.5,,,Chernozems: degraded,Tschernoseme: degradierte,,,
114.441.6,,,Prairie soils,Prärie-Böden,,,
114.441.7,,,Laterite and lateritic soils,Laterite und lateritische Böden,,,
114.441.7,,,Red earths,Roterden,,,
114.441.7,,,Subtropical soils: of humid climates,Subtropische Böden: humider Klimate,,,
114.441.7,,,Terra rossa,Terra rossa,,,
114.441.7,,,Tropical soils: of humid climates,Tropische Böden: humider Klimate,,,
114.441.7,,,Yellow earths,Gelberden,,,
114.442,,,"Soil types: zonal, of semi-arid and arid climates",Bodentypen: zonale Böden semi-arider und arider Klimate,,,
114.442,,,Zonal soils: of semi-arid and arid climates,Zonale Böden: semi-arider und arider Klimate,,,
114.442.1,,,Chernozems,Tschernoseme:,,,
114.442.2,,,Chestnut earths,Kastanienfarbige Böden,,,
114.442.3,,,Brown semi-desert soils,Braune Halbwüstenböden,,,
114.442.3,,,Semi-desert soils: temperate (brown),Halbwüstenböden: gemäßigte Zone (braun),,,
114.442.4,,,Grey semi-desert soils,Graue Halbwüstenböden,,,
114.442.4,,,Semi-desert soils: temperate (grey),Halbwüstenböden: gemäßigte Zone (grau),,,
114.442.5,,,Desert soils: temperate,Wüstenböden: gemäßigte Zone,,,
114.442.7,,,Chernozems: tropical,Tschernoseme: tropische,,,
114.442.7,,,Desert soils: tropical,Wüstenböden: tropische,,,
114.442.7,,,Red desert soils,Rote Wüstenböden,,,
114.442.7,,,Semi-desert soils: subtropical and tropical,Halbwüstenböden: subtropische und tropische,,,
114.442.7,,,Subtropical soils: of semi-arid and arid climates,Subtropische Böden: semi-arider und arider Klimate,,,
114.442.7,,,Tropical soils: of semi-arid and arid climates,Tropische Böden: semi-arider und arider Klimate,,,
114.443,,,Groundwater soils: non-peaty,Grundwasser-Böden: nicht- torfige,,,
114.443,,,Soil types: non-peaty groundwater,Bodentypen: nicht-torfige Grundwasserböden,,,
114.443.1,,,Gleys (as soil type),Glei-Böden (als Bodentyp),,,
114.443.1,,,Meadow soils,Wiesenböden,,,
114.443.7,,,Vlei soils,Vlei-Böden,,,
114.444,,,Fenny soils,Moorböden,,,
114.444,,,Groundwater soils: peaty,Grundwasser-Böden: torfige,,,
114.444,,,Peat: soils,Torf: Böden,,,
114.444,,,Peat: soils (soil type),,,,
114.444,,,Soil types: peaty,Bodentypen: Torfböden,,,
114.445.1,,,Saline soils,Salz-Böden,,,
114.445.1,,,Solonchak soils,Solontschak-Böden,,,
114.445.2,,,Alkali soils,Alkali-Böden,,,
114.445.2,,,Solonetz soils,Solonez-Böden,,,
114.445.2,,,Szik soils,Szik-Böden,,,
114.445.3,,,"Alkali soils, degraded",Alkali-Böden: degradierte,,,
114.445.3,,,Soloti soils,Solodi-Böden,,,
114.445.3,,,,Degradierte Alkali-Böden,,,
114.446.1,,,Rendzinas,Rendzinen,,,
114.447,,,Alluvium,Alluviale Böden,,,
114.448,,,Skeletal soils,Skelettböden,,,
114.449.8,,,Spoil mounds,Halden,,,
114.449.8,,,"Tips, industrial","Abraumflächen, industrielle",,,
114.449.8,,,,Industrielle Abraumflächen,,,
114.449.8,,,,Kippen,,,
114.46,,,Soil classification: traditional (mainly textural),Bodenklassifizierung: herkömmliche (im wesentlichen nach der Textur),,,
114.46,,,Soil types: traditional (mainly textural),Bodentypen: herkömmliche Einteilung (im wesentlichen nach der Textur),,,
114.46,,,Textural soil types,Textur: Bodentypen nach der,,,
114.461,,,Humus: soils,Humus: Humusböden,,,
114.462,,,Sandy soils,Sandböden,,,
114.463,,,Clay soils,Tonböden,,,
114.463,,,Silt soils,Schluffböden,,,
114.464,,,Loam soils,Lehmböden,,,
114.465,,,Calcareous soils,Kalkböden,,,
114.466,,,Stony soils,Steinböden,,,
114.467,,,Moraine soils,Moränenböden,,,
114.468,,,Loess soils,Lößböden,,,
114.5,,,,Bonitierung: Boden,,,
114.52,,,Nutrients in soil,Nährstoffe im Boden,,,
114.52,,,Soil fertility,Bodenfruchtbarkeit,,,
114.52,,,,Boden: Nährstoffe im,,,
114.521,,,Soil fertility: determination,Bodenfruchtbarkeit: Bestimmung,,,
114.521.2,,,Soil fertility: determination (physical methods),Bodenfruchtbarkeit: Bestimmung (physikalische Methoden),,,
114.521.3,,,Soil fertility: determination (chemical methods),Bodenfruchtbarkeit: Bestimmung (chemische Methoden),,,
114.521.4,,,Soil fertility: determination (biological methods),Bodenfruchtbarkeit: Bestimmung (biolog. Methoden),,,
114.521.5,,,"Analysis, chemical: plant (as index to soil fertility)","Analyse, chemische: Pflanzen (i.a.) (zur Bestimmung der Bodenfruchtbarkeit)",,,
114.521.5,,,Soil fertility: determination (plant analysis),Bodenfruchtbarkeit: Bestimmung (Pflanzenanalysen),,,
114.521.6,,,Bioindicators,Bioindikatoren,bioindikaattorit,,
114.521.6,,,Indicator plants,Weiserpflanzen,,,
114.521.6,,,Soil fertility: determination (indicator plants),Bodenfruchtbarkeit: Bestimmung (Weiserpflanzen),,,
114.521.6,,,Soil indicator plants,Bodenweiserpflanzen,,,
114.521.7,,,"Ground flora (layers): use as index to soil fertility (\""forest types\"")","Bodenflora: als Weiser der Bodenfruchtbarkeit (\""Waldtypen\"")",,,
114.521.7,,,"Plant communities, soil fertility",Pflanzengesellschaften: Bodenfruchtbarkeit,,,
114.521.7,,,Soil fertility: determination (vegetation types),Bodenfruchtbarkeit: Bestimmung (Vegetation als Weiser),,,
114.521.7,,,"Types, forest: as index to soil fertility",Waldtypen: als Weiser der Bodenfruchtbarkeit,,,
114.521.7,,,Vegetation: types (as soil indicators),Vegetation: Typen(als Weiser für den Boden),,,
114.53,,,"Soil constituents: injurious, toxic","Bodenbestandteile: schädliche, giftige",,,
114.53,,,Soil toxicity,Bodengiftigkeit,,,
114.53,,,Toxic constituents: of soils,,,,
114.54,,,Fertilizing and fertilizers: fertilizer requirement of soils,Dünger und Düngen: Düngerbedarf des Bodens,,,
