fdcNumber,conceptId,Keytype,indexTerm-en,indexTerm-de,indexTerm-sv,indexTerm-fi,indexTerm-fr,indexTerm-sl,indexTerm-sp,agrovocConcept,scopeNote,fi-new-term,seÄven,USE-se,RT-se,v2016-se,altLabel-en,altLabel-de,altLabel-sv,altLabel-fi,altLabel-fr,altLabel-sl,altLabel-sp,hiddenLabel-en,hiddenLabel-de,hiddenLabel-sv,hiddenLabel-fi,hiddenLabel-fr,hiddenLabel-sl,hiddenLabel-sp
111.747,51,,upper atmosphere,Freier Atmosphäre,fria atmosfären,yläilmakehä,haute atmosphère ,,atmósfera superior,,,,,,,,,,,,,,,"Atmosphere, upper (condensation and deposits in)|condensation in atmosphere on objects in upper atmosphere|deposits from atmosphere: on objects in upper atmosphere",Atmosphäre: freie Atmosphäre (Klima) (Kondensation und Ablagerungen)|Kondensation (in der Atmosphäre): in der freien Atmosphäre|Ablagerungen aus der Atmosphäre: in der freien Atmosphäre,"atmosfär, kondensering på föremål i den fria atmosfären|kondensation, på föremål i den fria atmosfären|avsättning från atmosfären på föremål i den fria atmosfären","kondesaatio, esineiden päälle vapaassa ilmassa|laskeuma, esineiden päälle vapaassa ilmassa",,,condensación atmosférica sobre partículas en las zonas altas de la atmósfera |depósitos atmosféricos sobre partículas en las zonas altas de la atmósfera 
111.75,52,,fog,Nebel,dimma,sumu,brouillard,,niebla ,,,,,,,,,,,,,,,,,,,,,
111.75,53,,mist,Dunst,dis,utu,brume,,bruma  ,,,,,,,,,,,,,,,,,,,,,
111.76,54,classname,clouds,Wolken,moln,pilvet,nuages,,nubes ,,,,,,,,,,,,,,,,,,,,,
111.77,55,classname,precipitation,Niederschlag,nederbörd,sade,précipitation,,precipitaciones  ,,,,,,,,,,,,,,,,,,,,,
111.771,56,,"precipitation, classification",Niederschlag: Klassifikation,"nederbörd, klassifikation","sade, luokittelu",,,"precipitaciones, clasificación ",,,,,,,,,,,,,,,,,,,,,
111.771,57,,"precipitation, formation and dissolution",Niederschlag: Bildung und Auflösung,"nederbörd, bildning och utlösning","sade, muoto ja liukeneminen",,,"precipitaciones, formación y precipitación ",,,,,,,,,,,,,,,,,,,,,
111.771,58,,"precipitation, structure",Niederschlag: Struktur,"nederbörd, struktur","sade, rakenne",,,"precipitaciones, estructura  ",,,,,,,,,,,,,,,,,,,,,
111.772,59,,"precipitation, distribution at earth's surface",Niederschlag: Verteilung an der Erdoberfläche,"nederbörd, fördelning på jordytan","sade, jakauma maan pinnalla",,,"precipitaciones, distribución en la superficie de la tierra ",,,,,,,,,,,,,,,,,,,,,
111.773,60,,drought,Dürre,torka,kuivuus,aridité,,sequía ,,,,,,,,,,,,,,,,,,,,,
111.773,61,classname,variations in precipitation,Schwankungen im Niederschlag ,växlingar i nederbörd,saten vaihtelu,,,variaciones en la precipitación,,,,,,,,,,,,,,,,,,,,,
111.78,62,classname,particular kinds of precipitation,Besondere Arten des Niederschlags,särskilda slag av nederbörd,erityiset sadetyypit,formes particulières de précipitations,,diversas formas de precipitaciones,,,,,,,,,,,,,,,,,,,,,
111.781,63,,drizzle,Sprühregen,duggregn,tihkusade,,,llovizna ,,,,,,,,,,,,,,,,,,,,,
111.781,64,,rain,Regen,regn,vesisade,,,lluvia ,,,,,,,,,,,,,,,,,,,,,
111.783,65,,snow mixed with rain,Regenschnee,regnblandad snö,vedensekainen lumi,,,"lluvia, mezclada col nieve",,,,,,,,,Schnee: Regenschnee,"snö, regnblandad",,,,,,,,,,,
111.784,66,,congealed snowflakes,,,jähmettyneet lumihiutaleet,,,nieve helada ,,,,,,,,Snowflakes (congealed),,,lumihiutaleet (jähmettyneet),,,,,,,,,,
111.784,67,,granular snow,Schneegriesel,komsnö,lumijyväset,neige en grains,,"nieve, granulada ",,,,,,,,snow: granular,,,,,,,Snow: granular,,,,,,
111.784,68,,ice needles (form of precipitation),Eisnadeln (Regen),isnålar (regn),jääneulaset (sade),,,agujas de hielo (forma de precipitación) ,,,,,,,,snow: ice needles,Schnee: Eisnadeln,,,,,,,,,,,,
111.784,69,,sleet,Schlossen,trindsnö,räntäsade,neige fondue,,cellisca ,,,,,,,,rain: mixed with snow,Regen: gemischt mit Schnee,"regn, snöblandat",,,,,,,,,,,
111.784,70,,snow,Schnee,snö,lumi,neige,,nieve ,,,,,,,,,,"snö, trindsnö",,,,,,,,,,,
111.784,71,,soft hail,Graupeln,snöhagel,lumirae,,,granos de hielo,,,,,,,,,,,,,,,,,,,,,
111.784,72,,supercooled water,underkühlter Regen,underkylt regn,alijäähtynyt vesi,eau surfondue,,agua superenfriada,,,,,,,,,,,,,,,,,,,,,
111.787,73,,hail,Hagel,hagel,rakeet,grêle,,granizo,,,,,,,,,,,,,,pedrisco,,,,,,,
111.8,74,,climatology,Klimatologie,klimatologi,klimatologia,climatologie,,climatología,c_1671,,,se även,,bioklimatologi|mikroklimat,,,,,ilmastotiede,,,,,,,,,,
111.81,75,,climatic zones,Klimazonen,klimatzoner,ilmastovyöhykkeet,zones climatiques,,zonas climáticas,,,,,,,,zones (climatic),,,vyöhykkeet (ilmasto),,,,latitude: influence on climate,Geographische Breite: Einfluß auf das Klima,"latitud, inverkan på klimatet",leveysasteen vaikutus ilmastoon,,,"latitud, influencia  en el clima "
111.81,76,,solar radiation,Solarklima,strålningsklimat,auringonsäteily,influence solaire,,clima solar,,,,,,,,,,,,,,,,,,,,,
111.83,77,,climate changes,Klimaänderungen,klimatförändringar,ilmastonmuutokset,changements climatiques,,cambios climáticos,,,,,,,,,,,,,,,,,,,,,
111.83,78,,global warming,Klimaerwärmung,global uppvärmning ,ilmaston lämpeneminen,réchauffement climatique,,el calentamiento global,,OR 111.83,,,,,,,,,,,,,,,,,,,
111.83,79,,greenhouse effect,Treibhauseffekt,växthuseffekt,kasvihuoneilmiö,effet de serre,,efecto invernadero,,,,,,,,,,,,,,,,,,,,,
111.83,80,,palaeoclimatology,Paläoklimatologie,paleoklimatologi,paleoklimatologia,paléoclimatologie,,paleoclimatología ,c_5508,,,,,,,,,,,,,,,,,,,,
111.84,81,,microclimate,Mikroklima,mikroklimat,mikroilmasto,,,microclima,,,,,,,,,,,,,,,,,,,,,
111.84,82,,microclimatology,Mikroklimatologie,mikroklimatologi,mikroklimatologia,,,microclimatología,,,,,,,,,,,,,,,,,,,,,
111.85,83,,climate types,Klimatypen,klimattyper,ilmastotyypit,,,tipos de clima,,,,,,,,,,,,,,,,,,,,,
111.86,84,,bioclimatology,Bioklimatologie,bioklimatologi,bioklimatologia,,,bioclimatología ,,,,,,,,,,,,,,,,,,,,,
111.86,85,,biometeorology,Biometeorologie,biometeorologi,biometeorologia,,,biometeorología,,,,,,,,,,,,,,,,,,,,,
111.87,86,,upper atmosphere (climate of),Atmosphäre: freie Atmosphäre (Klima),"atmosfär, högre luftlagers klimat",yläilmakehän ilmasto,,,clima de las zonas altas de la atmósfera,,,,,,,,,,,,,,,Climate; climatology: of upper atmosphere,"Klima, Klimatologie: der freien Atmosphäre","klimat, klimatologi, högre luftlagers klimat",,,,
111.88,87,,climate; climatology: influence of environment,"Klima, Klimatologie: Einfluß der Umgebung","klimat, klimatologi, omgivningens inflytande","ilmasto, klimatologia: ympäristön vaikutus",,,"clima, influencia del medio",,,,,,,,,,,,,,,,,,,,,
111.902,88,classname,cosmic influences,Kosmische Einflüsse,kosmiska inflytanden,kosmiset tekijät,,,influencias cósmicas de la atmósfera,,,,,,,,,,,,,,,"Atmosphere, cosmic influences",Atmosphäre: kosmische Einflüsse,"atmosfär, kosmiska inflytanden",,,,
111.91,89,classname,visibility,Sichtweite,siktförhållanden,näkyvyys,,,visibilidad ,,,,,,,,,,,,,,,,,,,,,
111.93,90,,mirage,Luftspiegelung,hägring,kangastus,mirage,mirage,espejismo,,,,,,,,,,,,,,,,,,,,,
111.93,91,,"optical phenomena, atmospheric","Optische Erscheinungen, atmosphärische",optiska företeelser i atmosfären,optiset ilmiöt ilmakehässä,,,fenómenos ópticos en la atmósfera,,,,,,,,,,,,,,,"Atmosphere, optical phenomena in",Atmosphäre: optische Erscheinungen,"atmosfär, optiska företeelser i",ilmakehä: optiset ilmiöt,,,
111.94,92,,electrical phenomena in atmosphere,Elektrische Erscheinungen in der Atmosphäre,elektriska företeelser i atmosfären,sähköiset ilmiöt ilmakehässä,,,fenómenos eléctricos en la  atmósfera,,,,,,,,,,,,,,,"Atmosphere, electrical phenomena in",Atmosphäre: elektrische Erscheinungen,"atmosfär, elektriska företeelser i",,,,
111.94,93,,lightning,Blitz,blixt,salamat,,,rayos ,,,,,,,,,,,,,,,,,,,,,
111.96,94,,acoustic phenomena in atmosphere,Akustische Erscheinungen in der Atmosphäre,akustiska företeelser i atmosfären,akustiset ilmiöt ilmakehässä,,,fenómenos acústicos en la atmósfera,,,,,,,,,,,,,,,"Atmosphere, acoustic phenomena in",Atmosphäre: akustische Erscheinungen,"atmosfär, akustiska företeelser i",,,,
113,95,classname,situation,Lage,läge,sijainti,,,situación ,,,,,,,,,,,,,,,,,,,,,
113.1,96,,latitude,Geographische Breite,latitud,leveysaste,,,latitud  ,,,,,,,,,,,,,,,,,,,,,
113.1,97,,longitude,Längengrade,longitud,pituusaste,,,longitud geográfica  ,,,,,,,,,,,,,,,,,,,,,
113.2,98,classname,altitude,Höhenlage,höjd över havet,korkeus (sijainti),,,altitud  ,,,,,,,,,,,,,,,,,,,,,
113.2,99,,mountain forest,Gebirgswald,bergskog,vuoristometsä,forét de montagne,,bosque de montaña,,Forest located in a mountainous area (SilvaVoc 2005),,,,,,,,,,,,,,,,,,,
113.3,100,,aspect,Exposition,exposition,ekspositio,,,exposición del terreno,,,,,,,,,,,,,,,,,,,,,
113.3,101,,gradient of slope,Hangneigung ,lutningsgrad,kaltevuuskulma,sens du plan incliné,,gradiente de inclinación,,,,,,,,,,,,,,,,,,,,,
113.3,102,,slope,Neigung,lutning,kaltevuus (paikka),pente,,inclinación del terreno,,,,,,,,,,,,,,,,,,,,,
113.4,103,,ground configuration,Geländeform,markkonfiguration,maanpinnan muoto,,,configuración del terreno,,,,,,,,,,,,,,,,,,,,,
113.4,104,,topography,Topographie,topografi,topografia,,,topografía ,,,,,,,,,,,,,,,,,,,,,
114,105,,forest soil,Forstboden,skogsmark,metsämaa (maaperä),,,suelos forestales,,,,,,,,,,,,,,,,,,,,,
114,106,P,soil,Boden,mark,maaperä,,,suelo ,,,,,,,,,,,maa,,,,,,,,,,
114,107,P,soil science,Bodenkunde,marklära,maatiede,sciences du sol ,,ciencia del suelo,,,,,,,,,,pedologi,maaperäoppi,,,,,,,,,,
114.1,108,classname,soil physics,Bodenphysik,markfysik,maafysiikka,,,física del suelo,,,,,,,,,,,,,,propiedades físicas del suelo ,Soil: physical properties|Physical properties: soil,Boden: physikalische Bodeneigenschaften|Physikalische Eigenschaften: Boden,mark: fysikaliska egenskaper|fysikaliska egenskaper: mark,maaperän fysikaaliset ominaisuudet|fysikaaliset ominaisuudet: maaperä,,,
114.11,109,,soil compaction,Bodenverdichtungen,markpackning,maan tiivistyminen,,,compacidad del suelo ,,,,,,,,,,konsolidering,,,,,"Compaction, soil",Verdichtung: Boden,,,,,
114.11,110,P,soil density,Bodendichte,markens densitet,maan tiheys,,,densidad del suelo (peso/volumen),,,,,,,,,,,,,,,Density : volume/weight (of soil),Dichte (spezifisches Gewicht): Boden,densitet: mark,,,,
114.11,111,,specific gravity (soil),Gewichtsverhältnis,specifik vikt,ominaispaino,,,peso específico,,,,,,,,,Spezifisches Gewicht: Boden,,,,,,,,,,,,
114.12,112,P,soil moisture,Bodenfeuchtigkeit,markfuktighet,maankosteus,humidité du sol,,humedad del suelo,,,,,,,,Moisture relations (soil),Feuchtigkeit (Boden),fuktighet; relationer till: mark,,,,relaciones de la humedad con el suelo ,,,,,,,
114.12,113,P,soil water,Bodenwasser,markvatten,maavesi,eau du sol,,agua del suelo ,,,,,,,,"Water, soil","Wasser, Boden|Wasser, Beziehungen der, des ... zum: Bodens",jordvatten,vatten: bindning och rörelse i marken,,,,,,,,,,
114.122,114,P,soil moisture content,Feuchtigkeitsgehalt des Bodens,vattenhalt i mark,maan vesipitoisuus,,,contenido de humedad del suelo ,,,,,,,,Moisture content (soil),Bodenfeuchtigkeit: Feuchtigkeitsgehalt,"markfuktighet, vattenhalt",,,,"humedad del suelo, contenido de humedad ",,,,,,,
114.123,115,,soil hydraulic conductivity,Hydraulische Leitfähigkeit des Bodens,markens vattengenomsläpplighet,maan vedeläpäisykyky,,,retención (agua del suelo),,,,,,,,,,,,,,,,,,,,,
114.123,116,,soil infiltration,Bodenfiltration,markfiltrering,maasuodatus,,,filtración en el suelo ,,,,,,,,"Water, soil: filtration|Filtration in soil","Wasser, Boden: Filtration|Filtration im Boden","filtrering, mark|vatten: bindning och rörelse i marken, filtrering",suodatus maaperässä,,,"agua del suelo, filtración ",,,,,,,
114.123,117,,soil infiltration capacity,Infiltrationsvermögen des Bodens,markinfiltrationskapacitet,maan suodatuskyky,,,capacidad  de infiltración del suelo ,,,,,,,,,"Infiltration capacity, soil",,infiltrationskapacitet,imeytymiskyky,,,,,,,,,
114.123,118,,soil permeability,Bodendurchlässigkeit,markpermeabilitet,maan läpäisevyys,,,permeabilidad del suelo ,,,,,,,,"Permeability, soil",Durchlässigkeit des Bodens,permeabilitet i mark,"läpäisevyys, maaperä",,,,,,,,,,
114.123,119,,soil porosity,Bodenporosität,markens porositet,maan huokoisuus,porosité du sol,,porosidad del suelo ,,,,,,,,"Porosity, soil","Porosität, Boden","huokoisuus, maan",porositet i mark,,,,,,,,,,
114.124,120,,field capacity (soil),Wasserkapazität (Boden),fältkapasitet,kenttäkapasiteetti,cpacité au champ,,capacidad de retención de agua del suelo,,,,,,,,"Water-retaining capacity, soil",Feldkapazität|Bodenfeuchtigkeit: Wasserkapazität,,,,,,"Water, soil: retention","Wasser, Boden: Wasserkapazität","markfuktighet, vattenhållande förmåga|vatten i marken, vattenhållande förmåga",,,,
114.124,121,,soil absorption,Bodenabsorption,markabsorption,maaperän absorptio,,,absorción (agua del suelo),,,,,,,,"Water, soil: absorption","Wasser, Boden: Absorption","vatten i marken, absorption|absorption i marken",,,,,,soil moisture: retention,Bodenfeuchtigkeit: Absorption,"markfuktighet, absorption",maankosteus: absorptio,,
114.125,122,,soil hygroscopicity,Boden: Hygroskopizität,mark: hygroskopicitet,maaperän hygroskooppisuus,,,higroscopicidad del suelo ,,,,,,,,Hygroscopicity: soil,Hygroskopizität: Boden,hygroskopicitet: hos mark,,,,,,,,,,,
114.129,123,,groundwater,Grundwasser,grundvatten,pohjavesi,eau souterraine,,agua freática,,,,,,,,Soil water: groundwater,Bodenwasser: Grundwasser,,,,,,"Water, soil: groundwater; water table","Wasser, Boden: Grundwasser","vatten: bindning och rörelse i marken, grundvatten",,,,
114.13,124,P,ground air,Bodenluft,markluft,maaperäilma,atmosphère du sol,,atmósfera del suelo ,,,,,,,,"Atmosphere, of soil",Atmosphäre: des Bodens,"atmosfär, markluft",maanilma,,,,Gases: in soil,Gase: im Boden,gaser: i marken,,,,
114.13,125,,soil aeration,Bodendurchlüftung,jordgenomluftning,maan tuuletus,aération du sol,,aireación del suelo  ,,,,,,,,,,,,,,,,,,,,,
114.13,126,P,soil respiration,Bodenatmung,markandning,maahengitys,respiration du sol,,gases en el suelo ,,,,,,,,,,,,,,,,,,,,,
114.14,127,,soil adhesion,Bindigkeit (des Bodens),markadhesion,maaperän kiinninnittyminen,,,adhesividad del suelo,,,,,,,,,,,,,,,,,,,,,
114.14,128,,soil cohesion,Kohäsion (des Bodens),markkohesion,maaperän koheesio,,,cohesión del suelo ,,,,,,,,,,,,,,,,,,,,,
114.14,129,P,soil consistence,Bodenbindigkeit,jordkonsistens,maan koostumus,,,consistencia del suelo ,,,,,,,,soil homogeneity,,,,,,,"Consistence, soil","Festigkeit, Boden",,maan homogeenisuus,,,
114.14,130,P,soil structure,Bodenstruktur,jordstruktur,maan rakenne,,,estructura del suelo,,,,,,,,Structure: soil,,struktur: mark,,,,,,,,,,,
114.15,131,classname,soil texture,Bodentextur,jordtextur,maan tekstuuri,,,textura del suelo ,,,,,,,,Texture: soil,Textur: Boden,textur: jord,,,,,"Physical analysis, soil|Analysis, mechanical (soil)","Physikalische Bodenanalyse|Analyse, mechanische (Boden)|Bodenanalyse, mechanische",,,,,análisis físico del suelo |análisis mecânico del suelo
114.16,132,classname,soil temperature,Bodentemperatur,marktemperatur,maan lämpötila,,,temperatura del suelo ,,,,,,,,"Temperature, soil",Temperatur: Boden,"temperatur, mark",,,,,,,,,,,
114.17,133,,soil electrical properties,Elektrische Bodeneigenschaften,elektriska markegenskaper,maan sähköominaisuudet,,,propiedades eléctricas del suelo,,,,,,,,,,,,,,,,,elektriska egenskaper: hos mark,,,,
114.2,134,P,soil chemistry,Bodenchemie,markkemi,maakemia,,,química del suelo,,,,,,,,Chemistry: soil,Chemie: Boden,kemi: mark,maaperäkemia,,,,"Analysis, chemical: soil","Bodenanalyse, chemische|Analyse, chemische: Boden","analys, kemisk: mark",,,,análisis químico del suelo
114.22,135,,soil physico-chemical properties,Physikalisch-chemische Bodeneigenschaften,fysikalisk-kemiska markegenskaper,maan fysikaalis-kemialliset ominaisuudet,,,propiedades fisicoquímicas del suelo ,,,,,,,,,,,,,,,Soil: physico-chemical properties,Boden: physikalisch-chemische Bodeneigenschaften,mark: fysikalisk-kemiska egenskaper,,,,
