fdcNumber,date-eng,date-ger,date-fre,date-fin,date-swe,date-sp,RecordType,BT,seeAlso,prefLabel-eng,includingNote-eng,scopeNote-eng,fdcNumber-fi,prefLabel-fin,includingNote-fin,scopeNote-fin,fdcNumber-de,prefLabel-ger,includingNote-ger,scopeNote-ger,dcoNumber-fre,prefLabel-fre,includingNote-fre,scopeNote-fre,prefLabel-swe,includingNote-swe,scopeNote-swe,prefLabel-slv,includingNote-slv,scopeNote-slv,prefLabel-spa,includingNote-spa,scopeNote-spa,old-classnames
111.5,1954,1992,1960,2016,1966,1959,,111,421.1,Wind,,,111.5,Tuuli,,,111.5 ,Wind,,,111.5,Vents,,,Vind,,,,,,Viento,,,
111.7,1954,1992,1960,2016,1966,1959,,111,116,"Humidity, evaporation. Clouds etc. Precipitation",,[For hydrological aspects see 116],111.7,"Kosteus, haihdunta. Pilvet jne.",,[Hydrologian näkökulmasta kts. 116],111.7 ,"Feuchtigkeit, Verdunstung. Wolken usw.  Niederschlag",,,111.7,"Humidité, évaporation. Nuages, etc. Précipitations",,"[Pour les aspects hydrologiques, voir 116]","Humiditet, evaporation. Moln m.m. nederbörd",,[Ur hydrologisk synpunkt se 116],,,,"Humedad, evaporación. Nubes, etc. Precipitación",,"Para los aspectios hidrológicos, véase 116",
111.71,1954,1992,1960,2016,1966,1959,,111.7,,Humidity,,,111.71,Kosteus,,,111.71 ,Feuchtigkeit,,,111.71,Humidité,,,Humiditet,,,,,,Humedad,,,
111.73,1954,1992,1960,2016,1966,1959,,111.7,,Evaporation,,,111.73,Haihdunta,,,111.73 ,Verdunstung,,,111.73,Évaporation,,,Evaporation,,,,,,Evaporación,,,
111.74,1954,1992,1960,2016,1966,1959,,111.7,,Condensation and deposits,,,111.74,Kondensaatio ja vesivarastot,,,111.74 ,Kondensation und Ablagerungen,,,111.74,Condensations et dépôts,,,Kondensation och avsättning,,,,,,Condensación y dep´sito,,,
111.744,1954,1992,1960,2016,1966,1959,,111.74,,On the earth’s surface,,,111.744,Maan pinnalla,,,111.744 ,An der Erdoberfläche,,,111.744,A la surface du sol,,,På jordytan,,,,,,Sobre la superficie de la  tierra,,,
111.744.1,1954,1992,1960,2016,1966,1959,,111.744,,Liquid (dew),,,111.744.1,Nestemäinen (kaste),,,111.744.1 ,Flüssig (Tau),,,111.744.1,Liquides (rosée),,,Flytande ( dagg),,,,,,Liquido (rocío),,,
111.744.2,1954,1992,1960,2016,1966,1959,GFDC06,111.744,,"Solid (rime, glazed ice etc.)",,,111.744.2,"Kiinteä (kuura, jäätävä sade)",,,111.744.2 ,"Fest (Reif, Glatteis usw.)",,,111.744.2 ,"Solides (givre, verglas, etc.)",,,"Fast (rimfrost, isbark m.m.)",,,,,,"Sólido (escarcha, hielo, etc.)",,,
111.747,1954,1992,1960,2016,1966,1959,,111.74,,On objects in the upper atmosphere,,,111.747,Kohteet yläilmakehässä,,,111.747 ,An Gegenständen in der freien Atmosphäre,,,111.747,Sur les corps dans l'atmosphère,,,På föremål i den fria atmosfären,,,,,,Sobre particulas en las zonas altas de la atm´sfera,,,
111.75,1954,1992,1960,2016,1966,1959,,111.7,,Fog and mist,,,111.75,Sumu ja usva,,,111.75 ,Dunst und Nebel,,,111.75,Brouillard et brume,,,Dis och dimma,,,,,,Niebla y bruma,,,
111.76,1954,1992,1960,2016,1966,1959,,111.7,,Clouds,,,111.76,Pilvet,,,111.76 ,Wolken,,,111.76,Nuages,,,Moln,,,,,,Nubes,,,
111.77,1954,1992,1960,2016,1966,1959,,111.7,,Precipitation,in general,,111.77,Sade yleensä,,,111.77 ,Niederschläge im allgemeinen,,,111.77,Précipitations en général,,,Nederbörd i allmänhet,,,,,,Precipitaciones en general,,,
111.771,1954,1992,1960,2016,1966,1959,,111.77,,"Structure, formation and dissolution, classification",,,111.771,"Rakenne, mudostuminen, häviäminen, luokittelu",,,111.771 ,"Struktur, Bildung und Auflösung, Klassifikation",,,111.771,"Structures, formation et, dissolution, classification",,,"Struktur, bildning och utlösning, klassifikation",,,,,,"Estructura, formación y disolución, clasificación",,,
111.772,1954,1992,1960,2016,1966,1959,,111.77,,Distribution at the earth’s surface,,,111.772,Jakautuma maan pinnalla,,,111.772 ,Verteilung an der Erdoberfläche,,,111.772,Distribution à la surface de la terre,,,Fördelning på jordytan,,,,,,Distribución en la superficie de la tierra,,,
111.773,1954,1992,1960,2016,1966,1959,,111.77,,Variations in precipitation,,,111.773,Sateen muuntelu,,,111.773 ,Schwankungen,,,111.773,Variations,,,Växlingar i nederbörd,,,,,,Variaciones,,,
111.78,1954,1992,1960,2016,1966,1959,,111.7,,Particular kinds of precipitation,,,111.78,Erityiset sadetyypit,,,111.78 ,Besondere Arten des Niederschlags,,,111.78,Formes particulières de précipitations,,,Särskilda slag av nederbörd,,,,,,Diversas formas de precipitación,,,
111.781,1954,1992,1960,2016,1966,1959,,111.78,,"Rain, drizzle",,,111.781,"Sade, tihku",,,111.781 ,"Regen, Sprühregen",,,111.781,"Pluie, bruine",,,"Regn, duggregn",,,,,,"Lluvia, llovizna",,,
111.783,1954,1992,1960,2016,1966,1959,,111.78,,Mixed snow and rain,,,111.783,Lumen ja sateen sekoitus. Räntä,,,111.783 ,Regenschnee,,,111.783,Neige mouillée,,,Snöblandat regn,,,,,,Lluvia y nieve mezcladas,,,
111.784,1954,1992,1960,2016,1966,1959,,111.78,,"Snow, granular snow, sleet, ice needles",,,111.784,"Lumi, lumijyväset, räntä, jääneulaset",,,111.784 ,"Schnee, Graupeln, Eisnadeln",,,111.784,"Neige, neige poudreuse, grésil, cristaux de glace",,,"Snö, trindsnö, underkylt regn, insnålar",,,,,,"Nieve, nieve granulada, cellisca, agujas de hielo",,,
111.787,1954,1992,1960,2016,1966,1959,,111.78,,Hail,,,111.787,Rakeet,,,111.787 ,Hagel,,,111.787,Grêle,,,Hagel,,,,,,Granizo y pedrisco,,,
111.789,1954,1992,1960,2016,1966,1959,,111.78,,Other kinds of precipitation,,,111.789,Muut sademuodot,,,111.789 ,Sonstige Arten von Niederschlag,,,111.789,Autres formes de précipitations,,,Övrig nederbörd,,,,,,Otras clases de precipitationes,,,
111.8,1954,1992,1960,2016,1966,1959,,111,,Climatology,,,111.8,Klimatologia. Ilmastotiede,,,111.8 ,Klimatologie,,,111.8,Climatologie,,,Klimatologi,,,,,,Climatología,,,
111.81,1954,1992,1960,2016,1966,1959,,111.8,,Solar climate. Climatic zones. Influence of latitude,,,111.81,Aurinkoilmasto. Ilmastovyöhykkeet. Leveysasteen vaikutus,,,111.81 ,Solarklima. Klimazonen. Einfluss der geographischen Breite,,,111.81,Influence solaire. Zones climatiques. Influence de la latitude,,,Strålningsklimat. Klimatzoner. Breddgradsinflytande,,,,,,Clima solar. Zonas climáticas. Influencia de la latitud,,,
111.82,1954,1992,1960,2016,1966,1959,,111.8,,Climate of particular places and regions. Climatological monographs,,,111.82,Tiettyjen paikkojen ja alueiden ilmasto. Klimatologiset monografiat,,,111.82 ,Klima bestimmter Orte und Gebiete. Klimatologische Monographien,,,111.82,Climats locaux et régionaux. Monographies de climats,,,Klimat inom speciella områden eller orter. Klimatologiska monografier,,,,,,Climas locales y regionales. Monografias climatológicas,,,
111.83,1954,1992,1960,2016,1966,1959,GFDC06,111.8,,Climatic changes. Palaeoclimatology,,,111.83,Ilmastonmuutokset. Paleoklimatologia,,,111.83 ,Klimaänderungen. Paläoklimatologie,,,111.83 ,Changements climatiques. Paléoclimatologie,,,Klimatförändringar. Paleoklimatologi,,,,,,Cambios climáticos. Paleoclimatologia,,,
111.84,1954,1992,1960,2016,1966,1959,,111.8,,Microclimate. Microclimatology,,,111.84,Mikroilmasto. Mikroklimatologia,,,111.84 ,Kleinklima. Mikroklimatologie,,,111.84,Microclimats. Microclimatologie,,,Mikroklimat. Mikroklimatologi,,,,,,Microclima. Microclimatologia,,,
111.85,1954/2017,1992,1960,2016,1966,1959,,111.8,,Climate types,,,111.85,Ilmastotyypit,,,111.85 ,Klimatypen,,,111.85,Types climatiques,,,Klimattyper,,,,,,Tipos climáticos,,,
111.86,1954/1988,1992,1960,2016,1966,1959,GFDC06,111.8,,Biometeorology. Bioclimatology,,,111.86,Biometeorologia. Bioklimatologia,,,111.86 ,Biometeorologie. Bioklimatologie,,,111.86 ,Biométéorologie. Bioclimatologie,,,Bioklimatologi,,,,,,Bioclimatologia,,,
111.87,1954/2017,1992,1960,2016,1966,1959,,111.8,,Upper atmosphere,,(climate of),111.87,Yläilmakehä,,,111.87 ,Monographien über die freie Atmosphäre,,,111.87,Monographies de l’atmosphère,,,Högre luftlagers klimat,,,,,,Monografias de las zonas altas de la atmósfera,,,Monographs on uppera atmosphere
111.88,1954,1992,1960,2016,1966,1959,,111.8,,Influence of environment,,,111.88,Ympäristön vaikutus,,,111.88 ,Einfluß der Umgebung,,,111.88,Influences du milieu,,,Omgivningens inflytande på klimatet,,,,,,Influencia del medio,,,
111.9,1954,1992,1960,2016,1966,1959,,111,,Various influences and phenomena,,,111.9,Erilaiset ilmiöt ja vaikutukset,,,111.9 ,Verschiedene Phänomene und Einflüsse,,,111.9,Influences et phénomènes divers,,,Olika företeelser och inflytanden,,,,,,Influencias y fenómenos varios,,,
111.902,1954,1992,1960,2016,1966,1959,,111.9,,Cosmic influences,,,111.902,Kosmiset vaikutukset,,,111.902 ,Kosmische Einflüsse,,,111.902,Influences cosmiques,,,Kosmiska inflytanden,,,,,,Influencias cósmicas,,,
111.91,1954,1992,1960,2016,1966,1959,,111.9,,Visibility,,,111.91,Näkyvyys,,,111.91 ,Sichtweite,,,111.91,Visibilité,,,Siktförhållanden,,,,,,Visibilidad,,,
111.93,1954,1992,1960,2016,1966,1959,,111.9,,Optical phenomena,,,111.93,Optiset ilmiöt,,,111.93 ,Optische Erscheinungen,,,111.93,Phénomènes optiques,,,Optiska företeelser,,,,,,Fenómenos ópticos,,,
111.94,1954,1992,1960,2016,1966,1959,,111.9,,Electrical phenomena,,,111.94,Sähköiset ilmiöt,,,111.94 ,Elektrische Erscheinungen,,,111.94,Phénomènes électriques,,,Elektriska företeelser,,,,,,Fenómenos eléctricos,,,
111.96,1954,1992,1960,2016,1966,1959,,111.9,,Acoustic phenomena,,,111.96,Akustiset ilmiöt,,,111.96 ,Akustische Erscheinungen,,,111.96,Phénomènes acoustiques,,,Akustiska företeelser,,,,,,Fenómenos acústicos,,,
113,1954,1992,1960,2016,1966,1959,,11,,Situation,,,113,Kasvupaikka,,,113,Lage,,,113,Situation,,,Läge,,,,,,Situación,,,
113.1,1954,1992,1960,1985,1966,1959,,113,,Longitude and latitude,,,113.1,Pituus- ja leveysaste,,,113.1 ,Geographische Länge und Breite,,,113.1,Longitude et latitude,,,Longitud och latitud,,,,,,Longitud y latitud,,,
113.2,1954,1992,1960,1985,1966,1959,,113,,Altitude,,,113.2,Korkeus,,,113.2 ,Höhenlage,,,113.2,Altitude,,,Höjd over havet,,,,,,Altitud,,,
113.3,1954,1992,1960,1985,1966,1959,,113,,Gradient and aspect,,,113.3,Maanpinnan kaltevuus,,,113.3 ,Neigung und Exposition (Hangrichtung),,,113.3,Pente et exposition,,,Lutning och lutningsriktning,,,,,,Inclinación y exposición,,,
113.4,1954,1992,1960,1985,1966,1959,,113,,Configuration of ground. Topography,,,113.4,Maapinnan muoto. Topografia,,,113.4 ,Geländeform. Topographie,,,113.4,Configuration du terrain. Topographie,,,Markkonfiguration. Topografi,,,,,,Configuración del terreno. Topografia,,,
113.9,1954,1992,1960,2016,1966,1959,,113,,Situation: miscellaneous,,,113.9,Kasvupaikka: sekalaista,,,113.9 ,Verschiedenes,,,113.9,Divers,,,Övrigt,,,,,,Varios,,,
114,1954,1992,1960,1985,1966,1959,,11,,Soil. Soil science,,,114,Metsämaa. Maaperätiede,,,114,Boden. Bodenkunde,,,114,Sol. Science du sol (Pédologie),,,Mark. Marklära,,,,,,Suelo. Ciencia del suelo,,,
114.1,1954,1992,1960,2016,1966,1959,,114,,Soil physics ,,[Arranged in parallel with UDC 631.43],114.1,Metsämaan fysiikka,(sama järjestys kuin UDC 631.43),,114.1 ,Physikalische Bodeneigenschaften  ,,(Gleichlaufend mit UDK 631.43 geordnet),114.1,Physique du sol,,[Mis en parallèle avec CDU 631.43],Markfysik,,(Analogt med UDK 631.43),,,,Fisica del suelo,,Ordenado de acuerdo con UDC 631.43,
114.11,1954/1983,1992,1960,2016,1966,1959,,114.1,,Specific gravity. Density. Compaction,,,114.11,Erityinen paino. Tiheys. Tiivistyminen,,,114.11 ,Spezifisches Gewicht. Dichte. Verdichtung,,,114.11,Poids spécifique. Densité. Compactage,,,Specifik vikt. Densitet (täthet),(Enligt rekommenderat svenskt tekniskt språkbruk bör termen Densitet användas),,,,,Densidad. Densidad real,,,
114.12,1954,1992,1960,2016,1966,1959,,114.1,116.2,Moisture. Soil water. Permeability. Absorption. Hygroscopicity. ,,[For hydrological aspects see 116.2],114.12,Kosteus. Maavesi. Läpäisevyys. Absorptio. Hygroskooppisuus,,,114.12 ,Feuchtigkeit. Bodenwasser. Durchlässigkeit. Absorption. Hygroskopizität. ,,Hydrologische Gesichts-punkte siehe116.2],114.12,Humidité. Eau du sol. Perméabilité. Absorption. Hygroscopicité,,"[Pour les aspects hydrologiques, voir 116.2]",Markfuktighet. Vattnets bindning och rörelse i marken,,[Hydrologiska synpunkter se 116.2],,,,Humedad. Aqua del suelo. Permabilidad. Absorción. Higroscopicidad,,Desde el punto de vista hidrológico véase 116.2,
114.122,1954,1992,1960,2016,1966,1959,,114.12,,Moisture content,,,114.122,Vesipitoisuus,,,114.122 ,Feuchtigkeitsgehalt,,,114.122,Teneur en eau,,,Vattenhalt,,,,,,Contenido de humedad,,,
114.123,1954,1992,1960,2016,1966,1959,,114.12,,Permeability. Filtration,(including Infiltration capacity),,114.123,Läpäisevyys. Filtraatio,,,114.123 ,Durchlässigkeit. Filtration ,,Infiltration capacity - Versickerungsleistung?],114.123,Perméabilité. Percolation,,[Capacité d'infiltration],Permeabilitet. Filtrering,(Infiltrationskapacitet),,,,,Permeabilidad. Filtración,,Capacidad de infiltración,
114.124,1954,1992,1960,2016,1966,1959,,114.12,,Absorption. Water-retaining capacity,,,114.124,Absorptio. Vedenpitokyky,,,114.124 ,Absorption. Wasserkapazität,,,114.124,Absorption. Capacité de rétention de l'eau,,,Absorption. Vattenhållande förmåga,,,,,,Absorción. Capacidad de retención de agua,,,
